t,n_err,e_err,n_std,e_std
0.0,1.7272566917144008,-2.694845119121459,2.301118158840172,2.2444872513529384
0.1,1.727064874095581,-2.6952721639372594,2.301050964877976,2.2444209837337485
0.2,1.7268666152237182,-2.6956995245758426,2.3009820999826474,2.2443546874593268
0.3,1.726672034835354,-2.6961155773059957,2.300911562248049,2.244288361730475
0.4,1.726478504934014,-2.6965207952621233,2.3008393496760715,2.244222005750089
0.5,1.7262957813800193,-2.696922887034394,2.3007654603293566,2.244155618700283
0.6,1.7261027550846038,-2.697331627310814,2.300689892258328,2.244089199759769
0.7000000000000001,1.725902556235991,-2.6977263518498615,2.3006126433727396,2.2440227480816377
0.8,1.7256861921918092,-2.69812378676878,2.3005337114520925,2.2439562628370218
0.8999999999999999,1.7254846484842676,-2.6985144715444096,2.3004530944330424,2.2438897433011973
1.0,1.725279276623394,-2.698890031791181,2.300370790342684,2.2438231888946825
1.1,1.7250820646707998,-2.6992596741330463,2.3002867971229475,2.243756599125338
1.2,1.7248886078064205,-2.6996245067106557,2.300201112866713,2.2436899736650857
1.3,1.7246963730813158,-2.6999814104355075,2.3001137358780888,2.2436233123426303
1.4000000000000001,1.724506696127641,-2.7003324024977675,2.3000246645078266,2.2435566150762396
1.5,1.7243120823672935,-2.7006848383444932,2.2999338970838075,2.2434898818433524
1.6,1.724115717314955,-2.7010258854033355,2.2998414318384652,2.243423112644126
1.7,1.7239183301420085,-2.7013576288741468,2.2997472670026813,2.2433563074937193
1.7999999999999998,1.7237177851134433,-2.7017057160125773,2.29965140092444,2.243289466454271
1.9000000000000001,1.723515462547966,-2.702039556459862,2.2995538319460005,2.24322258962813
2.0,1.7233089493700022,-2.7023685957324273,2.2994545583001935,2.2431556771291663
2.1,1.7230884386478222,-2.702690346806764,2.2993535782171315,2.2430887291098984
2.2,1.7228735676515747,-2.703025679583576,2.299250890016701,2.2430217458079396
2.3,1.722648001661934,-2.7033488630853095,2.299146492130827,2.242954727592292
2.4,1.7224190451616814,-2.7036631445336505,2.299040383036253,2.242887674932272
2.5,1.7222009609731308,-2.7039676769845995,2.298932561130722,2.2428205883715537
2.6,1.7219817844409342,-2.7042679337232296,2.298823024967099,2.2427534685867614
2.6999999999999997,1.7217497771796737,-2.7045606637213435,2.298711773403836,2.242686316391349
2.8000000000000003,1.721507777851096,-2.70487127184677,2.2985988052377753,2.2426191326455105
2.9,1.7212608317830849,-2.705183239587782,2.2984841190341854,2.2425519182151397
3.0,1.7210159193036527,-2.705501148116785,2.298367713343011,2.242484673995594
3.1,1.7207685568587372,-2.7058205363449472,2.298249586709442,2.242417400917246
3.2,1.7205135402343443,-2.7061177157274137,2.2981297376750924,2.2423500999565795
3.3,1.7202713756075791,-2.7064041776760566,2.2980081648669914,2.242282772149585
3.4,1.7200417530096643,-2.7066804843028254,2.2978848670570313,2.242215418637714
3.5,1.7198198923946548,-2.706949949775387,2.297759843120743,2.2421480406677974
3.5999999999999996,1.7196025131997195,-2.7072275644672157,2.297633091835462,2.2420806395549224
3.7,1.7193821144621915,-2.7075000341616313,2.297504611883849,2.2420132166872837
3.8000000000000003,1.7191523400470363,-2.707758376788728,2.2973744020333156,2.2419457735380943
3.9000000000000004,1.7189268002114233,-2.7080076635325634,2.2972424612741795,2.2418783116546295
4.0,1.718708660609836,-2.708269121771805,2.297108788622657,2.2418108326250006
4.1,1.7184778746976204,-2.7085312753760635,2.296973383034605,2.2417433380770087
4.2,1.7182467341231276,-2.7088044055000338,2.2968362434727947,2.2416758296846346
4.3,1.7180148416721357,-2.709073108006534,2.296697368808241,2.2416083091606875
4.4,1.7177672847919532,-2.7093407640001814,2.2965567578802886,2.2415407782758234
4.5,1.7175112069524552,-2.7095926494405904,2.2964144095832446,2.2414732388739527
4.6,1.7172523606649477,-2.7098252894282218,2.2962703228571937,2.2414056928773354
4.7,1.7170040887770028,-2.710043331108956,2.2961244966461094,2.241338142267573
4.8,1.7167539478471319,-2.7102481326059404,2.2959769299283606,2.2412705891110094
4.9,1.716515276467183,-2.7104466050274105,2.295827621853151,2.2412030355768717
5.0,1.7162769952004806,-2.710633682461044,2.295676571684706,2.2411354839437996
5.1000000000000005,1.7160312668704156,-2.7108013090283167,2.295523778594138,2.2410679365403716
5.2,1.7157786234599781,-2.710956223840145,2.29536924178542,2.2410003957615494
5.3,1.7155295783757227,-2.7111096009425606,2.295212960606832,2.240932864096202
5.3999999999999995,1.7152857091251343,-2.7112562564265605,2.295054934377799,2.240865344102573
5.5,1.715046992300919,-2.711396379371133,2.2948951623263816,2.2407978383860496
5.6000000000000005,1.7148110907234617,-2.7115252049008873,2.294733643728585,2.2407303496141964
5.7,1.7145691160171321,-2.7116543229956904,2.294570378012458,2.2406628805353233
5.8,1.7143328193363696,-2.711789373632685,2.2944053645603373,2.2405954339390948
5.8999999999999995,1.7140993244252032,-2.7119265428908443,2.294238602686208,2.2405280126720073
6.0,1.7138633852196776,-2.7120596849064844,2.294070091772535,2.240460619663934
6.1000000000000005,1.7136183200103399,-2.7121855038046947,2.2938998313218386,2.2403932579487384
6.2,1.713379346354523,-2.7123135614916496,2.293727820950501,2.2403259306678804
6.3,1.713142415505169,-2.7124466869565667,2.2935540602781384,2.240258641072452
6.4,1.712897614841292,-2.7125787413595392,2.2933785490245464,2.240191392535381
6.5,1.7126576835878935,-2.712719727530919,2.2932012868802643,2.240124188500412
6.6,1.7124152129917076,-2.712866356563969,2.2930222734608967,2.2400570324742723
6.7,1.7121779508565134,-2.71300285487342,2.2928415085559646,2.2399899280403544
6.8,1.7119445991431672,-2.7131390542958562,2.292658991936913,2.2399228788024317
6.9,1.711713698089596,-2.7132792937641304,2.2924747231774423,2.239855888359543
7.0,1.7114908654388317,-2.7134063638084798,2.292288701847828,2.239788960355115
7.1,1.711272361703289,-2.713535405076156,2.2921009276274993,2.239722098507997
7.199999999999999,1.71105135196209,-2.7136543059973066,2.2919114003066983,2.2396553066277862
7.300000000000001,1.7108251025304746,-2.7137723923563777,2.2917201198593133,2.2395885886332043
7.4,1.7105873835296594,-2.713901944784798,2.2915270862427084,2.2395219485256614
7.5,1.710339849781978,-2.7140201031066367,2.29133229935165,2.2394553903782968
7.6000000000000005,1.7100940893012846,-2.714142739821297,2.291135759127906,2.239388918336085
7.699999999999999,1.7098576335519222,-2.714258577394034,2.290937465424315,2.239322536576598
7.800000000000001,1.7096056708342982,-2.7143785034762904,2.2907374182072875,2.2392562493583177
7.8999999999999995,1.709354057086802,-2.7145069219109357,2.290535617648334,2.2391900610250377
8.0,1.709096357439669,-2.714645206655938,2.290332063787012,2.239123975982114
8.100000000000001,1.7088322839124348,-2.714773011621868,2.2901267564876724,2.239057998687752
8.2,1.7085818582275614,-2.714880634336772,2.289919695795189,2.2389921337042793
8.3,1.7083569748219787,-2.7149889329462584,2.2897108820447256,2.238926385711855
8.4,1.7081286753632674,-2.7150925597682503,2.289500315565453,2.2388607594704495
8.5,1.7078951057122045,-2.7152052661862216,2.289287996633508,2.238795259805151
8.6,1.7076665139946752,-2.715313358908783,2.289073925515856,2.238729891619322
8.7,1.7074399409649343,-2.7154020007857693,2.2888581023621897,2.2386646598564583
8.8,1.7072261298481808,-2.715489100974558,2.2886405273571624,2.2385995694961327
8.9,1.7070129131225669,-2.7155777323650145,2.288421200853037,2.238534625600298
9.0,1.7067949170473868,-2.7156586715247975,2.288200123217011,2.2384698332873256
9.1,1.7065848680816376,-2.715731835533151,2.287977294701097,2.2384051976976855
9.2,1.7063653476733864,-2.715798864379947,2.2877527156860147,2.2383407240522963
9.3,1.706140683329265,-2.715869815524451,2.2875263866093167,2.2382764176461096
9.4,1.7059167800638186,-2.715930978848749,2.287298307797566,2.2382122838307064
9.5,1.7056868533164848,-2.7159944086770618,2.287068479662331,2.2381483280439305
9.6,1.7054612987503177,-2.7160566132699024,2.2868369025869835,2.2380845557746567
9.7,1.7052276502229438,-2.7161161167827728,2.2866035769306983,2.2380209725678304
9.8,1.7049799743468952,-2.7161680526056657,2.2863685031083087,2.237957584018494
9.9,1.704750059607813,-2.7162266678196807,2.286131681645896,2.2378943957695814
10.0,1.7045215464547314,-2.7162881127224257,2.2858931131971585,2.2378314135414286
10.1,1.704292673668118,-2.716355195148592,2.285652798308943,2.237768643091472
10.200000000000001,1.7040770124971938,-2.7164157920020315,2.2854107374165165,2.2377060902232686
10.299999999999999,1.7038540184551874,-2.7164757929260284,2.285166931073833,2.2376437608489277
10.4,1.7036390708253648,-2.7165273645563044,2.2849213800163937,2.237581660991546
10.5,1.703440414640106,-2.7165774814318078,2.284674085028446,2.2375197967779643
10.6,1.7032449737491346,-2.7166231998409733,2.2844250469250253,2.237458174432931
10.700000000000001,1.7030507372553818,-2.7166677105936614,2.2841742665176215,2.237396800269016
10.799999999999999,1.7028477847334282,-2.7166987017435718,2.28392174459254,2.2373356806846885
10.9,1.7026458344547848,-2.716718036232738,2.283667482077812,2.2372748221658285
11.0,1.7024367619697158,-2.716737149198366,2.2834114799439407,2.237214231274073
11.1,1.7022204055550991,-2.716748339342206,2.283153738974223,2.23715391460914
11.200000000000001,1.7020064749708608,-2.716750139863558,2.28289425997193,2.237093878840157
11.299999999999999,1.70179429991792,-2.716742219873973,2.2826330439532874,2.237034130737895
11.4,1.7015901223342464,-2.716724141493068,2.282370091999177,2.2369746771477765
11.5,1.701381493099978,-2.716698069615068,2.2821054052192364,2.236915524995442
11.6,1.7011730830288685,-2.716668980857127,2.281838984658861,2.2368566812685984
11.700000000000001,1.7009594914257378,-2.7166245934207134,2.281570831364583,2.2367981530318466
11.799999999999999,1.7007384137384949,-2.7165773032407885,2.2813009466282304,2.236739947450506
11.9,1.7005127616892495,-2.7165302920664844,2.281029331845813,2.236682071769857
12.0,1.7002868790993926,-2.7164840728883646,2.2807559882651733,2.23662453327413
12.1,1.700049697168149,-2.7164454110858074,2.2804809169870306,2.2365673392880407
12.200000000000001,1.6998096843612878,-2.7164079003069252,2.2802041192139044,2.2365104972093124
12.299999999999999,1.6995752651674347,-2.716357773976389,2.279925596209597,2.236454014495366
12.4,1.6993353268084535,-2.7162956431285217,2.2796453491936144,2.236397898637921
12.5,1.6990966084496588,-2.7162276962088474,2.279363379551209,2.2363421571919435
12.6,1.6988689262483718,-2.716161141522103,2.2790796887081384,2.236286797776625
12.7,1.6986435060253458,-2.7160926424628205,2.2787942779070107,2.236231828058715
12.8,1.6984076589127586,-2.716018705461207,2.278507148406951,2.2361772557903485
12.9,1.6981625758438752,-2.7159376757594313,2.2782183016664495,2.23612308883936
13.0,1.6979230104912466,-2.7158538899428275,2.277927739172419,2.2360693351638146
13.1,1.6976863518803607,-2.7157618526761684,2.2776354623117707,2.2360160027921667
13.2,1.6974485299835307,-2.715666371492548,2.2773414725626813,2.235963099838455
13.3,1.6972147298655267,-2.715561309142824,2.2770457715199695,2.235910634497947
13.4,1.6969786627732015,-2.715432756309222,2.2767483607967853,2.2358586150215722
13.5,1.6967411472515768,-2.715305541230094,2.276449242070254,2.235807049711287
13.6,1.6965144011861175,-2.7151776191757637,2.276148416995757,2.2357559469187778
13.7,1.6962957845205535,-2.715058371073281,2.2758458871990306,2.2357053150639787
13.8,1.6960780445477435,-2.714942105616783,2.275541654387612,2.2356551626596732
13.9,1.6958580638448195,-2.714819045024223,2.275235720282172,2.235605498315839
14.0,1.6956428234527057,-2.714687837523709,2.2749280865896075,2.235556330729124
14.1,1.6954099658816233,-2.7145571301216505,2.2746187551769683,2.2355076687185287
14.2,1.6951657862684064,-2.7144204146680075,2.274307727917883,2.23545952119154
