t,nees_ekf,nees_fgo
0.0,1.139000084406301,5.00823744055597
0.1,1.409700551393235,5.010621389973098
0.2,1.5840703288720415,5.013007297054171
0.3,1.6712640989860756,5.0153661847997615
0.4,1.7484774117901316,5.0176980249187375
0.5,1.6008428582895315,5.0200322932325365
0.6,1.6095342285833432,5.0223860057131375
0.7000000000000001,1.592411987296256,5.024698356686261
0.8,1.4666980678800874,5.027014898441179
0.8999999999999999,1.4422853528510406,5.029325768574352
1.0,1.3875409545215018,5.031594292639723
1.1,1.4317255984274921,5.033855881626311
1.2,1.367244813433011,5.036111234453798
1.3,1.3544496304392437,5.038349222422165
1.4000000000000001,1.352215865192042,5.040576726757413
1.5,1.3579342168111301,5.042811679204842
1.6,1.3419360455737797,5.0450169163988505
1.7,1.3656086543115342,5.047199267243389
1.7999999999999998,1.3428615398963695,5.0494357070529485
1.9000000000000001,1.3334867186684451,5.0516335767267995
2.0,1.3170314644831516,5.053820243353408
2.1,1.2819177751209925,5.055982076329944
2.2,1.2299420595997699,5.058194892380338
2.3,1.2565569203116203,5.0603700849897955
2.4,1.286237190983707,5.062522062521152
2.5,1.2451508199348333,5.064656824078242
2.6,1.3366689674126755,5.066783811808791
2.6999999999999997,1.3184952853821272,5.068885940088959
2.8000000000000003,1.2903275322367573,5.071042974476917
2.9,1.2738675578388885,5.07320734938772
3.0,1.2816628860529338,5.075397420108094
3.1,1.1906539871730546,5.077596979242403
3.2,1.1192108143500688,5.079730251591279
3.3,1.121567301397528,5.081845098336815
3.4,1.0991105926783356,5.083943037607151
3.5,1.1482762292684274,5.086031294837243
3.5999999999999996,1.1262562687446314,5.088154009690519
3.7,1.1279822666378723,5.09026578036436
3.8000000000000003,1.1644887295961026,5.092335274160687
3.9000000000000004,1.1861957684296003,5.094386504432489
4.0,1.134655688513266,5.096486877781377
4.1,1.1226888733224119,5.098588956307282
4.2,1.1046596518547098,5.100732043052467
4.3,1.0858851526983435,5.102868401818509
4.4,1.0862468596021955,5.10499944872495
4.5,1.0840938622638874,5.1070840845239
4.6,1.077882600791759,5.109115163940528
4.7,1.0696313419646917,5.111115274237652
4.8,1.0669230421131026,5.113081270734802
4.9,1.0656939001183026,5.115042716547894
5.0,1.0656418318290397,5.116977260423971
5.1000000000000005,1.0671275205423931,5.118855235948577
5.2,1.0663424762172227,5.1206979375030635
5.3,1.0664535602390184,5.122546316310028
5.3999999999999995,1.0676503017160701,5.124385263869845
5.5,1.0656845030062725,5.126215441961541
5.6000000000000005,1.0665709432198278,5.1280205845169435
5.7,1.0641759729595976,5.129831235747851
5.8,1.0639259793183242,5.131672123591737
5.8999999999999995,1.0652298411454344,5.133529814846397
6.0,1.0653473197664063,5.135382118583046
6.1000000000000005,1.0760449384620816,5.137214818585778
6.2,1.0893020092211994,5.139066947165393
6.3,1.0826619525255115,5.140944904721227
6.4,1.091277418057799,5.142823548369463
6.5,1.0770420908113703,5.144741874597111
6.6,1.0668286418051491,5.146685407706789
6.7,1.0539084589509973,5.148609911519749
6.8,1.0495460614282335,5.150545499676175
6.9,1.0857095772697285,5.152505093716774
7.0,1.0914498106444415,5.154438661126564
7.1,1.090925831658045,5.156391259476329
7.199999999999999,1.1252139966595724,5.158320876785275
7.300000000000001,1.0805639370277664,5.160255045163198
7.4,1.1051020017290414,5.162228520961412
7.5,1.0971980761548648,5.164170935908047
7.6000000000000005,1.100785551545074,5.1661389428809095
7.699999999999999,1.0896793417528132,5.168101797626088
7.800000000000001,1.0819714942233312,5.170078564000476
7.8999999999999995,1.0651810507419566,5.172092599046198
8.0,1.0599897084638683,5.174144402395973
8.100000000000001,1.0775262404747605,5.176170029460955
8.2,1.0402216066903776,5.178151175727597
8.3,1.0279063221238793,5.180160566478568
8.4,1.0110688060202748,5.182164006357485
8.5,1.0422913170949073,5.184203568048562
8.6,1.0369323136626176,5.186242534413298
8.7,1.015636350507641,5.188232476710161
8.8,1.018218138167967,5.190236101220191
8.9,1.0201339231810655,5.192255799437563
9.0,0.9913264579236464,5.194259348560201
9.1,1.0829438018544844,5.196254188497196
9.2,1.0900323883919798,5.198234979696899
9.3,1.1176588268886738,5.200235988078038
9.4,1.1143697626507854,5.20221763291036
9.5,1.1037479777284562,5.204213815430548
9.6,1.1456552309513643,5.206219746349822
9.7,1.2099783608002228,5.208223289219116
9.8,1.2267593163467965,5.210205584695316
9.9,1.2478350592586624,5.212230867987483
10.0,1.1577883172593073,5.2142772062023175
10.1,1.2389830862461282,5.216352418981785
10.200000000000001,1.2753283567025802,5.218426495519482
10.299999999999999,1.1705946138966383,5.220505950965841
10.4,1.1825042868412445,5.2225754913699545
10.5,1.1273689126020576,5.224662284998662
10.6,1.254928778372538,5.226749159968533
10.700000000000001,1.2881041645042846,5.2288450960683805
10.799999999999999,1.3700047044224613,5.230905270712413
10.9,1.3877853493492498,5.232941617617658
11.0,1.3481817332032706,5.234985585613706
11.1,1.1754002867733198,5.237012780638599
11.200000000000001,1.2783777575567326,5.239024596331488
11.299999999999999,1.3015507479820536,5.241019583518423
11.4,1.2551817179226783,5.243000146320376
11.5,1.2500170597556501,5.24496574094885
11.6,1.2724653848606517,5.246935107926196
11.700000000000001,1.370199584040893,5.248866148581791
11.799999999999999,1.4617732800835297,5.250797182913401
11.9,1.544622573689016,5.252740307965018
12.0,1.4284983901007897,5.254699872238505
12.1,1.4880079521906737,5.256690881957764
12.200000000000001,1.4914025954828949,5.258698133881611
12.299999999999999,1.4170996741752917,5.260682670048693
12.4,1.5071091263956917,5.262639600840802
12.5,1.6761293090843388,5.264592768981968
12.6,1.6258583461449772,5.266571135021945
12.7,1.6175527965503145,5.268558731760685
12.8,1.6758239483403057,5.270536739741768
12.9,1.7594010362724468,5.2725006609074745
13.0,1.7821459846485925,5.274473319211762
13.1,1.82008400591983,5.276435667534161
13.2,1.6858437336546472,5.278400702589861
13.3,1.8241581854028437,5.2803519041017095
13.4,1.8350287362198356,5.282240884092771
13.5,1.7613518142289115,5.2841476920231525
13.6,1.903490899852155,5.2860730737110035
13.7,1.7377060873104724,5.288045469636163
13.8,1.629771497371533,5.2900422492683665
13.9,1.7404543968909003,5.292030280199828
14.0,1.5079425016760586,5.294009424657486
14.1,1.3775615325421802,5.295993833417035
14.2,1.4132335475181075,5.297966253966076
14.3,1.3513466585166927,5.299943724883396
14.399999999999999,1.4083461684429286,5.301908556630368
14.5,1.4935187065949922,5.303895854911135
14.600000000000001,1.3477491156818555,5.305920948154609
14.7,1.388568151382208,5.307927969990311
14.8,1.47434279513633,5.309925551182706
14.899999999999999,1.6125298371618826,5.311954947406496
15.0,1.6134798850844303,5.313995989943653
15.1,1.5987268703793482,5.3160398575843315
15.200000000000001,1.6509998863841853,5.318092493370337
15.3,1.5573611500598088,5.320137925674247
15.399999999999999,1.7826575341741746,5.322205113579278
15.500000000000002,1.875363523062836,5.324278955993201
15.600000000000001,1.7014516081036932,5.326346561089927
15.7,1.6171212512525155,5.328426436082043
15.799999999999999,1.6595984038238798,5.330545153140244
15.9,1.7851699114001485,5.332660624487088
16.0,1.729671417070144,5.334772944519699
16.099999999999998,1.8238808718115143,5.336916419955885
16.200000000000003,1.804966115526468,5.339069262431327
16.3,1.7444347769039155,5.341198609956564
16.4,1.5784737529298944,5.343329130950673
16.5,1.6308834035729245,5.345452319950029
16.6,1.6039503062932816,5.34759262456493
16.7,1.5748704239426594,5.349769097082627
16.8,1.3643693060857907,5.352037981177617
16.900000000000002,1.5232459469391788,5.354274372624857
17.0,1.469564809788514,5.356500485516091
17.099999999999998,1.6625093080412634,5.358720231981307
17.2,1.6057939181477363,5.360956658402579
17.3,1.516635493118631,5.363185424258544
17.4,1.6337484792380923,5.365408024242071
17.5,1.8042046978524138,5.367635559695962
17.6,1.7853257637288504,5.369867515995558
17.7,1.8528681253935573,5.372096265758454
17.8,2.141802247168731,5.374300676516749
17.9,2.3668529787317136,5.376528786025553
18.0,2.6721429941216255,5.378795755461067
18.1,2.83668770398466,5.381054820647513
18.2,3.11937171942183,5.38330085030896
18.3,3.1613605317277154,5.385564561524112
18.4,3.2764439656453055,5.387803660380358
18.5,3.4461358601203798,5.390015528780186
18.6,3.5742396862680694,5.392220031535179
18.7,3.393403699026546,5.394430852108727
18.8,3.6088048128198,5.39664714613689
18.9,3.707083191152605,5.398856326600364
19.0,3.5116191493465054,5.4010431139953425
19.1,3.4724808212424265,5.403238040478492
19.2,3.4628394294023974,5.4054469747551765
19.3,3.229102261329912,5.407640950038829
